Player,Club,Goals
Timo Werner,RB Leipzig,7
Timo Werner,Chelsea FC,8
Sylvain Wiltord,FC Girondins de Bordeaux,4
Sylvain Wiltord,Arsenal FC,3
Sylvain Wiltord,Olympique Lyonnais,8
Vincent Aboubakar,Besiktas JK,3
Vincent Aboubakar,FC Porto,11
Javier Hernandez,Manchester United,7
Javier Hernandez,Real Madrid CF,1
Javier Hernandez,Bayer 04 Leverkusen,6
Klaas Jan Huntelaar,FC Schalke 04,13
Klaas Jan Huntelaar,AFC Ajax,1
Miroslav Klose,SV Werder Bremen,5
Miroslav Klose,FC Bayern Munchen,9
Adriano,FC Internazionale Milano,14
Kostas Mitroglou,Olympiacos FC,11
Kostas Mitroglou,SL Benfica,3
Cristiano Ronaldo,FC Internazionale Milano,1
Cristiano Ronaldo,Real Madrid CF,13
Robert Pires,Olympique de Marseille,2
Robert Pires,Arsenal FC,11
Robert Pires,Villarreal CF,1
David Villa,Valencia CF,6
David Villa,FC Barcelona,8
Zinedine Zidane,Juventus,5
Zinedine Zidane,Real Madrid CF,9
Dimitar Berbatov,Bayer 04 Leverkusen,7
Dimitar Berbatov,Manchester United,5
Dimitar Berbatov,AS Monaco FC,1
Kingsley Coman,Juventus,0
Kingsley Coman,FC Bayern Munchen,13
Peter Crouch,Liverpool FC,9
Peter Crouch,Tottenham Hotspur,4
Sonny Anderson,FC Barcelona,4
Sonny Anderson,Olympique Lyonnais,9
Deco,FC Porto,7
Deco,FC Barcelona,6
Carsten Jancker,FC Bayern Munchen,13
Jan Koller,RSC Anderlecht,3
Jan Koller,Borussia Dortmund,10
Fredrik Ljungberg,Arsenal FC,13
Jackson Martinez,FC Porto,12
Jackson Martinez,Club Atletico de Madrid,1
Lukas Podolski,FC Bayern Munchen,3
Lukas Podolski,Arsenal FC,8
Lukas Podolski,Galatasaray AS,2
Alexis Sanchez,FC Barcelona,3
Alexis Sanchez,Arsenal FC,9
Alexis Sanchez,Manchester United,0
Alexis Sanchez,FC Internazionale Milano,1
Hakan Sukur,Galatasaray AS,13
Carlos Tevez,Manchester United,6
Carlos Tevez,Juventus,7
Burak Yilmaz,Galatasaray AS,10
Burak Yilmaz,LOSC Lille,3
Dani Alves,Sevilla FC,2
Dani Alves,FC Barcelona,5
Dani Alves,Juventus,3
Dani Alves,Paris Saint-Germain,2
Philippe Coutinho,Liverpool FC,5
Philippe Coutinho,FC Bayern Munchen,3
Philippe Coutinho,FC Barcelona,4
Kevin De Bruyne,Manchester City FC,12
Luis Diaz,FC Porto,4
Luis Diaz,Liverpool FC,2
Radamel Falcao,FC Porto,4
Radamel Falcao,Chelsea FC,0
Radamel Falcao,AS Monaco FC,8
Radamel Falcao,Galatasaray AS,0
Serge Gnabry,FC Bayern Munchen,12
Mario Gotze,FC Bayern Munchen,9
Mario Gotze,Borussia Dortmund,3
Roy Keane,Manchester United,12
Walter Pandiani,Real Club Deportivo La Coruna,12
Marcus Rashford,Manchester United,12
Mehmet Scholl,FC Bayern Munchen,12
Bastian Schweinsteiger,FC Bayern Munchen,12
Bastian Schweinsteiger,Manchester United,0
Paulo Sergio,FC Bayern Munchen,12
Giovanni,FC Barcelona,4
Giovanni,Olympiacos FC,8
Wesley Sneijder,AFC Ajax,2
Wesley Sneijder,FC Internazionale Milano,6
Wesley Sneijder,Galatasaray AS,4
Emmanuel Adebayor,AS Monaco FC,1
Emmanuel Adebayor,Arsenal FC,8
Emmanuel Adebayor,Real Madrid CF,2
Savio,Real Madrid CF,10
Savio,Anorthosis Famagusta FC,1
Harald Brattbakk,Rosenborg BK,11
Jose Callejon,Real Madrid CF,7
Jose Callejon,SSC Napoli,4
Oscar Cardozo,SL Benfica,11
Michalis Konstantinou,Panathinaikos FC,9
Michalis Konstantinou,Olympiacos FC,2
